# Dataset: Business Survivability Scores by Neighborhood - Baltimore (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Baltimore
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/baltimore-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/baltimore-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
baltimore,annapolis,hot-pot-restaurant,Hot Pot Restaurant,77.9,84.0,71.4,84.0,84.0,72.3,70.6,14,Below-average,57,Average,23,2026,/resources/guides/baltimore/survivability/hot-pot-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,28.6,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,french-restaurant,French Restaurant,77.9,84.0,71.4,84.0,84.0,72.3,70.5,13,Average,56,Average,23,2026,/resources/guides/baltimore/survivability/french-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,28.6,0.9669,0.0765,1,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,day-care-center,Day Care Center,79.1,85.6,73.8,86.0,83.8,75.6,73.1,16,Below-average,16,Great,23,2026,/resources/guides/baltimore/survivability/day-care-center,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,14.4,26.2,0.9669,0.0765,25,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,hungarian-restaurant,Hungarian Restaurant,78.1,84.0,72.3,84.0,83.8,73.2,71.4,12,Average,42,Good,23,2026,/resources/guides/baltimore/survivability/hungarian-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,27.7,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,tanning-salon,Tanning,73.0,78.2,66.9,78.6,76.9,68.5,66.1,2,Great,83,Below-average,23,2026,/resources/guides/baltimore/survivability/tanning-salon,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,21.8,33.1,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,smoke-shop,Smoke Shop,70.2,79.6,60.7,80.2,78.7,61.9,59.9,20,Poor,90,Poor,23,2026,/resources/guides/baltimore/survivability/smoke-shop,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,20.4,39.3,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,falafel-restaurant,Falafel Restaurant,71.8,76.3,65.5,76.9,75.4,66.4,64.7,20,Poor,86,Poor,23,2026,/resources/guides/baltimore/survivability/falafel-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,23.7,34.5,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,pizza-restaurant,Pizza Restaurant,77.9,84.0,71.0,84.0,84.0,71.9,70.2,10,Average,58,Average,23,2026,/resources/guides/baltimore/survivability/pizza-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,29.0,0.9669,0.0765,2,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,southern-food-restaurant,Soul Food / Southern Restaurant,78.2,84.0,71.8,84.0,84.0,72.8,71.0,11,Average,33,Good,23,2026,/resources/guides/baltimore/survivability/southern-food-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,28.2,0.9669,0.0765,26,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
baltimore,annapolis,ukrainian-restaurant,Ukrainian Restaurant,80.2,84.0,75.5,84.0,84.0,76.4,74.9,4,Great,3,Great,23,2026,/resources/guides/baltimore/survivability/ukrainian-restaurant,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/baltimore/neighborhoods/annapolis/business-survivability,16.0,24.5,0.9669,0.0765,0,,127094,0.7096,Upper-Middle,79.8,75.2,0.0635,44.5,0.5382,2.23,32.8,0.1700,StreetSpring Survivability Dataset 2026
