# Dataset: Business Survivability Scores by Neighborhood - Boston (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Boston
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/boston-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/boston-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
boston,adams-shore,hot-pot-restaurant,Hot Pot Restaurant,81.1,84.0,75.0,84.0,83.7,75.9,74.2,5,Great,13,Great,88,2026,/resources/guides/boston/survivability/hot-pot-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,25.0,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,french-restaurant,French Restaurant,81.0,84.0,75.5,84.0,84.0,76.3,74.6,4,Great,14,Great,88,2026,/resources/guides/boston/survivability/french-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,24.5,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,day-care-center,Day Care Center,81.3,86.0,75.2,86.0,84.3,76.9,74.4,10,Great,10,Great,88,2026,/resources/guides/boston/survivability/day-care-center,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,14.0,24.8,0.9513,0.0337,1,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,hungarian-restaurant,Hungarian Restaurant,79.5,84.0,72.3,84.0,83.8,73.2,71.4,9,Great,59,Average,88,2026,/resources/guides/boston/survivability/hungarian-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,27.7,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,tanning-salon,Tanning,73.4,77.2,66.9,77.7,76.0,68.5,66.1,57,Below-average,98,Poor,88,2026,/resources/guides/boston/survivability/tanning-salon,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,22.8,33.1,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,smoke-shop,Smoke Shop,74.6,79.6,67.9,80.2,78.7,69.1,67.1,52,Average,89,Poor,88,2026,/resources/guides/boston/survivability/smoke-shop,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,20.4,32.1,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,falafel-restaurant,Falafel Restaurant,74.3,77.2,70.5,77.8,76.3,71.3,69.6,15,Great,94,Poor,88,2026,/resources/guides/boston/survivability/falafel-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,22.8,29.5,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,pizza-restaurant,Pizza Restaurant,79.1,84.0,71.0,84.0,83.6,71.9,70.2,12,Great,69,Below-average,88,2026,/resources/guides/boston/survivability/pizza-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,29.0,0.9513,0.0337,1,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,southern-food-restaurant,Soul Food / Southern Restaurant,79.7,84.0,72.8,84.0,84.0,73.7,71.9,9,Great,54,Average,88,2026,/resources/guides/boston/survivability/southern-food-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,27.2,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
boston,adams-shore,ukrainian-restaurant,Ukrainian Restaurant,80.5,84.0,75.0,84.0,83.6,76.0,74.5,8,Great,23,Good,88,2026,/resources/guides/boston/survivability/ukrainian-restaurant,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/boston/neighborhoods/adams-shore/business-survivability,16.0,25.0,0.9513,0.0337,0,,101400,0.6123,Working,16.1,50.3,0.1047,40.6,0.5031,2.22,39.1,0.1891,StreetSpring Survivability Dataset 2026
