# Dataset: Business Survivability Scores by Neighborhood - Charlotte (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Charlotte
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/charlotte-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/charlotte-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
charlotte,belmont,hot-pot-restaurant,Hot Pot Restaurant,81.1,82.2,78.6,83.0,81.4,79.5,77.8,3,Great,21,Great,35,2026,/resources/guides/charlotte/survivability/hot-pot-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,17.8,21.4,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,french-restaurant,French Restaurant,78.3,79.0,77.7,79.7,78.2,78.6,76.8,17,Average,71,Below-average,35,2026,/resources/guides/charlotte/survivability/french-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,21.0,22.3,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,day-care-center,Day Care Center,82.3,83.3,81.0,84.2,81.6,82.8,80.3,4,Great,5,Great,35,2026,/resources/guides/charlotte/survivability/day-care-center,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,16.7,19.0,0.9434,0.0456,9,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,hungarian-restaurant,Hungarian Restaurant,79.1,80.8,78.2,81.5,79.7,79.0,77.3,19,Average,62,Average,35,2026,/resources/guides/charlotte/survivability/hungarian-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,19.2,21.8,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,tanning-salon,Tanning,71.1,72.3,69.2,72.8,71.0,70.7,68.4,17,Average,90,Poor,35,2026,/resources/guides/charlotte/survivability/tanning-salon,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,27.7,30.8,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,smoke-shop,Smoke Shop,73.0,75.1,70.6,75.7,74.2,71.8,69.8,17,Average,83,Below-average,35,2026,/resources/guides/charlotte/survivability/smoke-shop,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,24.9,29.4,0.9434,0.0456,1,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,falafel-restaurant,Falafel Restaurant,73.4,74.5,72.8,75.1,73.6,73.6,71.9,13,Good,81,Below-average,35,2026,/resources/guides/charlotte/survivability/falafel-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,25.5,27.2,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,pizza-restaurant,Pizza Restaurant,80.5,82.2,76.8,83.0,81.3,77.7,76.1,3,Great,49,Average,35,2026,/resources/guides/charlotte/survivability/pizza-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,17.8,23.2,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,southern-food-restaurant,Soul Food / Southern Restaurant,81.1,82.2,78.6,82.8,81.3,79.6,77.7,3,Great,24,Good,35,2026,/resources/guides/charlotte/survivability/southern-food-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,17.8,21.4,0.9434,0.0456,13,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
charlotte,belmont,ukrainian-restaurant,Ukrainian Restaurant,80.4,81.3,79.0,81.9,80.4,80.0,78.5,5,Great,53,Average,35,2026,/resources/guides/charlotte/survivability/ukrainian-restaurant,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/charlotte/neighborhoods/belmont/business-survivability,18.7,21.0,0.9434,0.0456,0,,71845,0.4839,Middle,51.0,37.7,0.1806,37.6,0.4380,1.96,23.3,0.2446,StreetSpring Survivability Dataset 2026
