# Dataset: Business Survivability Scores by Neighborhood - Detroit (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Detroit
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/detroit-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/detroit-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
detroit,alden-park,hot-pot-restaurant,Hot Pot Restaurant,77.4,80.8,75.0,81.7,80.1,75.9,74.2,20,Average,52,Average,41,2026,/resources/guides/detroit/survivability/hot-pot-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,19.2,25.0,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,french-restaurant,French Restaurant,77.7,80.8,75.9,81.5,80.0,76.8,75.0,21,Average,25,Good,41,2026,/resources/guides/detroit/survivability/french-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,19.2,24.1,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,day-care-center,Day Care Center,78.9,81.5,76.5,82.4,79.8,78.3,75.8,27,Below-average,5,Great,41,2026,/resources/guides/detroit/survivability/day-care-center,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,18.5,23.5,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,hungarian-restaurant,Hungarian Restaurant,77.1,80.4,74.5,81.1,79.3,75.4,73.7,30,Below-average,67,Below-average,41,2026,/resources/guides/detroit/survivability/hungarian-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,19.6,25.5,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,tanning-salon,Tanning,69.7,71.0,67.8,71.4,69.7,69.4,67.0,34,Poor,96,Poor,41,2026,/resources/guides/detroit/survivability/tanning-salon,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,29.0,32.2,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,smoke-shop,Smoke Shop,72.4,79.6,65.2,80.2,78.7,66.4,64.4,18,Average,84,Below-average,41,2026,/resources/guides/detroit/survivability/smoke-shop,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,20.4,34.8,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,falafel-restaurant,Falafel Restaurant,75.0,76.8,71.0,77.3,75.9,71.8,70.1,15,Good,77,Below-average,41,2026,/resources/guides/detroit/survivability/falafel-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,23.2,29.0,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,pizza-restaurant,Pizza Restaurant,77.1,80.0,75.0,80.8,79.1,75.9,74.3,20,Average,68,Below-average,41,2026,/resources/guides/detroit/survivability/pizza-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,20.0,25.0,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,southern-food-restaurant,Soul Food / Southern Restaurant,77.6,80.8,75.5,81.4,79.9,76.4,74.6,21,Average,47,Average,41,2026,/resources/guides/detroit/survivability/southern-food-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,19.2,24.5,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
detroit,alden-park,ukrainian-restaurant,Ukrainian Restaurant,78.2,83.1,75.0,83.7,82.2,76.0,74.5,28,Below-average,12,Great,41,2026,/resources/guides/detroit/survivability/ukrainian-restaurant,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/detroit/neighborhoods/alden-park/business-survivability,16.9,25.0,0.8214,0.3461,0,,46994,0.2859,Working,32.0,5.6,0.3291,40.4,0.2586,2.06,23.8,0.0609,StreetSpring Survivability Dataset 2026
