# Dataset: Business Survivability Scores by Neighborhood - New York City (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in New York City
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/new-york-city-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/new-york-city-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
new-york-city,astoria,hot-pot-restaurant,Hot Pot Restaurant,77.6,80.4,74.1,81.2,79.6,75.0,73.3,64,Good,26,Good,169,2026,/resources/guides/new-york-city/survivability/hot-pot-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,19.6,25.9,0.9259,0.1587,0,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,french-restaurant,French Restaurant,77.5,82.2,71.8,82.9,81.4,72.7,71.0,109,Below-average,32,Good,169,2026,/resources/guides/new-york-city/survivability/french-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,17.8,28.2,0.9259,0.1587,2,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,day-care-center,Day Care Center,79.4,82.8,75.2,83.8,81.1,76.9,74.4,93,Average,9,Great,169,2026,/resources/guides/new-york-city/survivability/day-care-center,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,17.2,24.8,0.9259,0.1587,41,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,hungarian-restaurant,Hungarian Restaurant,77.0,79.5,74.1,80.2,78.4,75.0,73.2,93,Average,64,Average,169,2026,/resources/guides/new-york-city/survivability/hungarian-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,20.5,25.9,0.9259,0.1587,0,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,tanning-salon,Tanning,75.7,79.0,71.8,79.5,77.8,73.4,71.1,55,Good,94,Poor,169,2026,/resources/guides/new-york-city/survivability/tanning-salon,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,21.0,28.2,0.9259,0.1587,0,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,smoke-shop,Smoke Shop,76.5,80.0,72.4,80.6,79.1,73.6,71.6,97,Average,79,Below-average,169,2026,/resources/guides/new-york-city/survivability/smoke-shop,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,20.0,27.6,0.9259,0.1587,2,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,falafel-restaurant,Falafel Restaurant,75.6,78.2,72.3,78.7,77.2,73.1,71.4,12,Great,95,Poor,169,2026,/resources/guides/new-york-city/survivability/falafel-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,21.8,27.7,0.9259,0.1587,0,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,pizza-restaurant,Pizza Restaurant,78.1,81.3,74.5,82.1,80.4,75.5,73.8,14,Great,15,Great,169,2026,/resources/guides/new-york-city/survivability/pizza-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,18.7,25.5,0.9259,0.1587,2,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,southern-food-restaurant,Soul Food / Southern Restaurant,77.1,79.0,74.1,79.6,78.1,75.1,73.2,90,Average,61,Average,169,2026,/resources/guides/new-york-city/survivability/southern-food-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,21.0,25.9,0.9259,0.1587,43,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
new-york-city,astoria,ukrainian-restaurant,Ukrainian Restaurant,77.8,81.3,72.8,81.9,80.4,73.7,72.2,82,Average,22,Great,169,2026,/resources/guides/new-york-city/survivability/ukrainian-restaurant,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/new-york-city/neighborhoods/astoria/business-survivability,18.7,27.2,0.9259,0.1587,0,,105427,0.6233,Middle,67.7,60.2,0.0960,37.1,0.5754,2.13,43.9,0.1259,StreetSpring Survivability Dataset 2026
