# Dataset: Business Survivability Scores by Neighborhood - Phoenix (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Phoenix
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/phoenix-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/phoenix-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
phoenix,alhambra,hot-pot-restaurant,Hot Pot Restaurant,79.1,83.6,73.2,84.0,82.8,74.1,72.4,9,Average,33,Good,18,2026,/resources/guides/phoenix/survivability/hot-pot-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.4,26.8,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,french-restaurant,French Restaurant,79.3,84.0,72.3,84.0,83.2,73.2,71.4,6,Good,22,Great,18,2026,/resources/guides/phoenix/survivability/french-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.0,27.7,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,day-care-center,Day Care Center,80.5,85.6,75.2,86.0,83.8,76.9,74.4,8,Average,7,Great,18,2026,/resources/guides/phoenix/survivability/day-care-center,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,14.4,24.8,0.9388,0.0787,26,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,hungarian-restaurant,Hungarian Restaurant,79.0,83.1,73.7,83.8,82.0,74.5,72.8,8,Average,48,Average,18,2026,/resources/guides/phoenix/survivability/hungarian-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.9,26.3,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,tanning-salon,Tanning,70.8,79.0,65.5,79.5,77.8,67.1,64.8,16,Poor,95,Poor,18,2026,/resources/guides/phoenix/survivability/tanning-salon,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,21.0,34.5,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,smoke-shop,Smoke Shop,71.5,81.0,61.6,81.5,80.0,62.8,60.8,9,Average,93,Poor,18,2026,/resources/guides/phoenix/survivability/smoke-shop,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,19.0,38.4,0.9388,0.0787,2,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,falafel-restaurant,Falafel Restaurant,74.1,80.0,68.7,80.5,79.0,69.5,67.8,11,Below-average,84,Below-average,18,2026,/resources/guides/phoenix/survivability/falafel-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,20.0,31.3,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,pizza-restaurant,Pizza Restaurant,78.5,83.1,71.0,83.9,82.2,71.9,70.2,8,Average,70,Below-average,18,2026,/resources/guides/phoenix/survivability/pizza-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.9,29.0,0.9388,0.0787,1,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,southern-food-restaurant,Soul Food / Southern Restaurant,79.1,83.6,73.2,84.0,82.6,74.2,72.3,9,Average,35,Good,18,2026,/resources/guides/phoenix/survivability/southern-food-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.4,26.8,0.9388,0.0787,33,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,ukrainian-restaurant,Ukrainian Restaurant,79.6,84.0,74.1,84.0,83.6,75.1,73.6,9,Average,13,Great,18,2026,/resources/guides/phoenix/survivability/ukrainian-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.0,25.9,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,german-restaurant,German Restaurant,79.0,83.6,73.2,84.0,82.5,74.2,72.4,8,Average,46,Average,18,2026,/resources/guides/phoenix/survivability/german-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.4,26.8,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,juice-smoothie-bar,"Juices, Smoothies & Acai",76.0,82.2,66.5,83.1,81.3,67.3,65.7,9,Average,77,Below-average,18,2026,/resources/guides/phoenix/survivability/juice-smoothie-bar,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,17.8,33.5,0.9388,0.0787,1,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,liquor-store,Liquor / Alcohol Store,72.3,79.6,65.7,80.1,78.4,67.2,64.8,16,Poor,91,Poor,18,2026,/resources/guides/phoenix/survivability/liquor-store,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,20.4,34.3,0.9388,0.0787,2,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
phoenix,alhambra,greek-restaurant,Greek Restaurant,78.5,83.1,71.8,84.0,82.3,72.9,71.4,9,Average,68,Below-average,18,2026,/resources/guides/phoenix/survivability/greek-restaurant,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/phoenix/neighborhoods/alhambra/business-survivability,16.9,28.2,0.9388,0.0787,0,,71002,0.4183,Working,17.7,20.1,0.1901,32.9,0.2574,2.73,28.8,0.1049,StreetSpring Survivability Dataset 2026
