# Dataset: Business Survivability Scores by Neighborhood - Portland (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Portland
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/portland-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/portland-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
portland,alameda,hot-pot-restaurant,Hot Pot Restaurant,80.2,81.3,78.2,82.1,80.5,79.1,77.3,11,Good,18,Great,43,2026,/resources/guides/portland/survivability/hot-pot-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,18.7,21.8,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,french-restaurant,French Restaurant,79.0,80.4,76.3,81.1,79.6,77.2,75.5,20,Average,47,Average,43,2026,/resources/guides/portland/survivability/french-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,19.6,23.7,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,day-care-center,Day Care Center,78.1,81.0,76.5,82.0,79.3,78.3,75.8,32,Below-average,69,Below-average,43,2026,/resources/guides/portland/survivability/day-care-center,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,19.0,23.5,0.9741,0.0261,2,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,hungarian-restaurant,Hungarian Restaurant,79.0,80.4,76.8,81.1,79.3,77.7,75.9,17,Good,49,Average,43,2026,/resources/guides/portland/survivability/hungarian-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,19.6,23.2,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,tanning-salon,Tanning,74.5,77.7,71.4,78.2,76.4,73.0,70.6,10,Good,82,Below-average,43,2026,/resources/guides/portland/survivability/tanning-salon,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,22.3,28.6,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,smoke-shop,Smoke Shop,73.1,75.1,71.5,75.7,74.2,72.7,70.7,18,Average,89,Poor,43,2026,/resources/guides/portland/survivability/smoke-shop,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,24.9,28.5,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,falafel-restaurant,Falafel Restaurant,73.3,75.5,71.4,76.0,74.5,72.2,70.5,20,Average,86,Poor,43,2026,/resources/guides/portland/survivability/falafel-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,24.5,28.6,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,pizza-restaurant,Pizza Restaurant,78.6,80.0,75.9,80.8,79.1,76.8,75.2,21,Average,59,Average,43,2026,/resources/guides/portland/survivability/pizza-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,20.0,24.1,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,southern-food-restaurant,Soul Food / Southern Restaurant,80.2,81.3,78.2,81.9,80.4,79.1,77.3,12,Good,20,Great,43,2026,/resources/guides/portland/survivability/southern-food-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,18.7,21.8,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
portland,alameda,ukrainian-restaurant,Ukrainian Restaurant,78.6,80.4,75.9,81.0,79.5,76.9,75.4,22,Average,61,Average,43,2026,/resources/guides/portland/survivability/ukrainian-restaurant,/resources/guides/portland/neighborhoods/alameda/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/portland/neighborhoods/alameda/business-survivability,19.6,24.1,0.9741,0.0261,0,,217281,0.8672,Affluent,99.0,98.8,0.0360,45.2,0.8405,2.64,25.1,0.0190,StreetSpring Survivability Dataset 2026
