# Dataset: Business Survivability Scores by Neighborhood - St. Louis (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in St. Louis
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/st-louis-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/st-louis-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
st-louis,affton,hot-pot-restaurant,Hot Pot Restaurant,77.9,82.7,73.2,83.5,81.9,74.1,72.4,29,Poor,46,Average,33,2026,/resources/guides/st-louis/survivability/hot-pot-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,17.3,26.8,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,french-restaurant,French Restaurant,78.3,83.1,73.7,83.8,82.3,74.5,72.8,29,Poor,20,Great,33,2026,/resources/guides/st-louis/survivability/french-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,16.9,26.3,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,day-care-center,Day Care Center,80.2,83.8,76.5,84.7,82.0,78.3,75.8,19,Average,4,Great,33,2026,/resources/guides/st-louis/survivability/day-care-center,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,16.2,23.5,0.9822,0.0621,8,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,hungarian-restaurant,Hungarian Restaurant,77.9,83.1,73.2,83.8,82.0,74.1,72.3,29,Poor,47,Average,33,2026,/resources/guides/st-louis/survivability/hungarian-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,16.9,26.8,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,tanning-salon,Tanning,69.3,73.2,64.2,73.7,71.9,65.8,63.4,31,Poor,90,Poor,33,2026,/resources/guides/st-louis/survivability/tanning-salon,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,26.8,35.8,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,smoke-shop,Smoke Shop,73.4,78.7,67.0,79.3,77.8,68.2,66.2,22,Below-average,80,Below-average,33,2026,/resources/guides/st-louis/survivability/smoke-shop,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,21.3,33.0,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,falafel-restaurant,Falafel Restaurant,71.1,79.5,66.9,80.0,78.6,67.7,66.0,27,Poor,85,Poor,33,2026,/resources/guides/st-louis/survivability/falafel-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,20.5,33.1,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,pizza-restaurant,Pizza Restaurant,77.2,82.7,72.3,83.5,81.8,73.2,71.6,30,Poor,67,Below-average,33,2026,/resources/guides/st-louis/survivability/pizza-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,17.3,27.7,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,southern-food-restaurant,Soul Food / Southern Restaurant,78.0,82.7,73.2,83.2,81.7,74.2,72.3,29,Poor,36,Good,33,2026,/resources/guides/st-louis/survivability/southern-food-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,17.3,26.8,0.9822,0.0621,1,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
st-louis,affton,ukrainian-restaurant,Ukrainian Restaurant,79.5,83.1,75.0,83.7,82.2,76.0,74.5,22,Below-average,7,Great,33,2026,/resources/guides/st-louis/survivability/ukrainian-restaurant,/resources/guides/st-louis/neighborhoods/affton/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/st-louis/neighborhoods/affton/business-survivability,16.9,25.0,0.9822,0.0621,0,,73838,0.4712,Middle,40.0,26.5,0.0903,41.0,0.3420,2.20,25.8,0.0503,StreetSpring Survivability Dataset 2026
