# Dataset: Business Survivability Scores by Neighborhood - Washington DC (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Washington DC
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/washington-dc-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/washington-dc-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
washington-dc,adams-morgan,hot-pot-restaurant,Hot Pot Restaurant,77.7,80.0,75.9,80.8,79.2,76.8,75.1,34,Average,54,Average,83,2026,/resources/guides/washington-dc/survivability/hot-pot-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,20.0,24.1,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,french-restaurant,French Restaurant,78.3,80.8,75.5,81.5,80.0,76.3,74.6,29,Good,31,Good,83,2026,/resources/guides/washington-dc/survivability/french-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,19.2,24.5,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,day-care-center,Day Care Center,78.9,82.4,76.1,83.3,80.7,77.8,75.3,58,Below-average,21,Great,83,2026,/resources/guides/washington-dc/survivability/day-care-center,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,17.6,23.9,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,hungarian-restaurant,Hungarian Restaurant,77.9,79.0,75.9,79.7,77.9,76.8,75.0,33,Good,43,Good,83,2026,/resources/guides/washington-dc/survivability/hungarian-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,21.0,24.1,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,tanning-salon,Tanning,76.3,79.0,73.7,79.5,77.8,75.2,72.9,1,Great,85,Below-average,83,2026,/resources/guides/washington-dc/survivability/tanning-salon,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,21.0,26.3,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,smoke-shop,Smoke Shop,75.4,77.3,73.8,77.9,76.4,75.0,72.9,22,Good,92,Poor,83,2026,/resources/guides/washington-dc/survivability/smoke-shop,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,22.7,26.2,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,falafel-restaurant,Falafel Restaurant,73.7,74.5,72.3,75.1,73.6,73.1,71.4,55,Below-average,99,Poor,83,2026,/resources/guides/washington-dc/survivability/falafel-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,25.5,27.7,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,pizza-restaurant,Pizza Restaurant,76.7,79.0,74.5,79.9,78.2,75.5,73.8,29,Good,78,Below-average,83,2026,/resources/guides/washington-dc/survivability/pizza-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,21.0,25.5,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,southern-food-restaurant,Soul Food / Southern Restaurant,77.7,80.0,75.9,80.5,79.0,76.9,75.0,28,Good,59,Average,83,2026,/resources/guides/washington-dc/survivability/southern-food-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,20.0,24.1,0.9841,0.1011,4,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
washington-dc,adams-morgan,ukrainian-restaurant,Ukrainian Restaurant,77.8,80.0,75.9,80.6,79.0,76.9,75.4,51,Below-average,48,Average,83,2026,/resources/guides/washington-dc/survivability/ukrainian-restaurant,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/washington-dc/neighborhoods/adams-morgan/business-survivability,20.0,24.1,0.9841,0.1011,0,,161689,0.7752,Middle,67.6,89.2,0.0629,37.8,0.9001,1.62,32.1,0.1229,StreetSpring Survivability Dataset 2026
